post_id,post_title,rank,artist,title,album,note
390,Spoon : Hot Songs Karaoke Party,,Spoon,All The Negatives Have Been Destroyed,Telephono,
390,Spoon : Hot Songs Karaoke Party,,Spoon,Dismember,Telephono,
390,Spoon : Hot Songs Karaoke Party,,Spoon,Don’t Buy The Realistic,Telephono,
390,Spoon : Hot Songs Karaoke Party,,Spoon,Idiot Driver,Telephono,
390,Spoon : Hot Songs Karaoke Party,,Spoon,Nefarious,Telephono,
390,Spoon : Hot Songs Karaoke Party,,Spoon,Plastic Mylar,Telephono,
390,Spoon : Hot Songs Karaoke Party,,Spoon,Advance Cassette,A Series Of Sneaks,
390,Spoon : Hot Songs Karaoke Party,,Spoon,Car Radio,A Series Of Sneaks,
390,Spoon : Hot Songs Karaoke Party,,Spoon,Metal Detektor,A Series Of Sneaks,
390,Spoon : Hot Songs Karaoke Party,,Spoon,The Minor Tough,A Series Of Sneaks,
390,Spoon : Hot Songs Karaoke Party,,Spoon,Reservations,A Series Of Sneaks,
390,Spoon : Hot Songs Karaoke Party,,Spoon,Utilitarian,A Series Of Sneaks,
390,Spoon : Hot Songs Karaoke Party,,Spoon,Laffitte Don’t Fail Me Now,The Agony Of Lafitte,
390,Spoon : Hot Songs Karaoke Party,,Spoon,Chips And Dip,LoveWays,
390,Spoon : Hot Songs Karaoke Party,,Spoon,Anything You Want,Girls Can Tell,
390,Spoon : Hot Songs Karaoke Party,,Spoon,Believing Is Art,Girls Can Tell,
390,Spoon : Hot Songs Karaoke Party,,Spoon,Everything Hits At Once,Girls Can Tell,
390,Spoon : Hot Songs Karaoke Party,,Spoon,The Fitted Shirt,Girls Can Tell,
390,Spoon : Hot Songs Karaoke Party,,Spoon,Take A Walk,Girls Can Tell,
390,Spoon : Hot Songs Karaoke Party,,Spoon,Take The Fifth,Girls Can Tell,
390,Spoon : Hot Songs Karaoke Party,,Spoon,10:20 a.m.,Girls Can Tell,
390,Spoon : Hot Songs Karaoke Party,,Spoon,All The Pretty Girls Go To The City,Kill The Moonlight,
390,Spoon : Hot Songs Karaoke Party,,Spoon,Back To The Life,Kill The Moonlight,
390,Spoon : Hot Songs Karaoke Party,,Spoon,Don’t Let It Get You Down,Kill The Moonlight,
390,Spoon : Hot Songs Karaoke Party,,Spoon,Jonathon Fisk,Kill The Moonlight,
390,Spoon : Hot Songs Karaoke Party,,Spoon,Someone Something,Kill The Moonlight,
390,Spoon : Hot Songs Karaoke Party,,Spoon,Something To Look Forward To,Kill The Moonlight,
390,Spoon : Hot Songs Karaoke Party,,Spoon,Vittorio E,Kill The Moonlight,
390,Spoon : Hot Songs Karaoke Party,,Spoon,The Way We Get By,Kill The Moonlight,
390,Spoon : Hot Songs Karaoke Party,,Spoon,"The Beast And Dragon, Adored",Gimme Fiction,
390,Spoon : Hot Songs Karaoke Party,,Spoon,The Delicate Place,Gimme Fiction,
390,Spoon : Hot Songs Karaoke Party,,Spoon,I Summon You,Gimme Fiction,
390,Spoon : Hot Songs Karaoke Party,,Spoon,I Turn My Camera On,Gimme Fiction,
390,Spoon : Hot Songs Karaoke Party,,Spoon,Merchants Of Soul,Gimme Fiction,
390,Spoon : Hot Songs Karaoke Party,,Spoon,My Mathematical Mind,Gimme Fiction,
390,Spoon : Hot Songs Karaoke Party,,Spoon,Sister Jack,Gimme Fiction,
390,Spoon : Hot Songs Karaoke Party,,Spoon,The Two Sides Of Monsieur Valentin,Gimme Fiction,
390,Spoon : Hot Songs Karaoke Party,,Spoon,Black Like Me,Ga Ga Ga Ga Ga,
390,Spoon : Hot Songs Karaoke Party,,Spoon,Don’t Make Me A Target,Ga Ga Ga Ga Ga,
390,Spoon : Hot Songs Karaoke Party,,Spoon,Don’t You Evah,Ga Ga Ga Ga Ga,
390,Spoon : Hot Songs Karaoke Party,,Spoon,Finer Feelings,Ga Ga Ga Ga Ga,
390,Spoon : Hot Songs Karaoke Party,,Spoon,Rhthm And Soul,Ga Ga Ga Ga Ga,
390,Spoon : Hot Songs Karaoke Party,,Spoon,The Underdog,Ga Ga Ga Ga Ga,
390,Spoon : Hot Songs Karaoke Party,,Spoon,You Got Yr Cherry Bomb,Ga Ga Ga Ga Ga,
390,Spoon : Hot Songs Karaoke Party,,Spoon,Got Nuffin,Transference,
390,Spoon : Hot Songs Karaoke Party,,Spoon,The Mystery Zone,Transference,
390,Spoon : Hot Songs Karaoke Party,,Spoon,Trouble Comes Running,Transference,
390,Spoon : Hot Songs Karaoke Party,,Spoon,Written In Reverse,Transference,
390,Spoon : Hot Songs Karaoke Party,,Spoon,Do You,They Want My Soul,
390,Spoon : Hot Songs Karaoke Party,,Spoon,Inside Out,They Want My Soul,
390,Spoon : Hot Songs Karaoke Party,,Spoon,Rainy Taxi,They Want My Soul,
390,Spoon : Hot Songs Karaoke Party,,Spoon,They Want My Soul,They Want My Soul,
390,Spoon : Hot Songs Karaoke Party,,Spoon,Can I Sit Next To You,Hot Thoughts,
390,Spoon : Hot Songs Karaoke Party,,Spoon,Hot Thoughts,Hot Thoughts,
499,2018 Top Tens,1,Rilo Kiley,Portions For Foxes,,
499,2018 Top Tens,2,Le Tigre,Deceptacon,,
499,2018 Top Tens,3,Rilo Kiley,A Better Son/Daughter,,
499,2018 Top Tens,4,Bikini Kill,Rebel Girl,,
499,2018 Top Tens,5,Saves The Day,At Your Funeral,,
499,2018 Top Tens,5,Misfits,Hybrid Moments,,
499,2018 Top Tens,5,Neutral Milk Hotel,In The Aeroplane Over The Sea,,
499,2018 Top Tens,8,Talking Heads,Psycho Killer,,
499,2018 Top Tens,9,Misfits,Last Caress,,
499,2018 Top Tens,10,Smiths,Ask,,
499,2018 Top Tens,10,New Order,Bizarre Love Triangle,,
499,2018 Top Tens,10,Pixies,Gigantic,,
499,2018 Top Tens,10,Patti Smith,Gloria,,
499,2018 Top Tens,10,The Mountain Goats,No Children,,
499,2018 Top Tens,10,Franz Ferdinand,Take Me Out,,
501,2019 Challenge: Sing The Unsung,,Action Swingers,Kicked In The Head,,
501,2019 Challenge: Sing The Unsung,,ALL,Postage,,Nick – 1/5
501,2019 Challenge: Sing The Unsung,,Antemasque,In The Lurch,,George – 11/2
501,2019 Challenge: Sing The Unsung,,Archers Of Loaf,Vocal Shrapnel,,Quanzi – 1/5
501,2019 Challenge: Sing The Unsung,,Audacity,Punk Confusion,,
501,2019 Challenge: Sing The Unsung,,Bad Religion,Joy To The World,,DJ Purple – 6/27
501,2019 Challenge: Sing The Unsung,,Bikini Kill,In Accordance To Natural Law,,
501,2019 Challenge: Sing The Unsung,,Black Flag,Clocked In,,Jerry – 2/16
501,2019 Challenge: Sing The Unsung,,Buffalo Tom,Birdbrain,,
501,2019 Challenge: Sing The Unsung,,Butchies,She’s So Lovely,,
501,2019 Challenge: Sing The Unsung,,Can,She Brings The Rain,,Bobby – 4/1
501,2019 Challenge: Sing The Unsung,,Chain Of Strength,True Till Death,,
501,2019 Challenge: Sing The Unsung,,Cloud Nothings,Psychic Trauma,,Nathaniel – 1/19
501,2019 Challenge: Sing The Unsung,,Cockney Rejects,Oi Oi Oi,,Steve – 1/5
501,2019 Challenge: Sing The Unsung,,Come,Shoot Me First,,Karl – 4/1
501,2019 Challenge: Sing The Unsung,,Dag Nasty,Can I Say,,
501,2019 Challenge: Sing The Unsung,,Dag Nasty,Wig Out At Denko’s,,Guy – 9/22
501,2019 Challenge: Sing The Unsung,,Damned,Noise Noise Noise,,
501,2019 Challenge: Sing The Unsung,,David Dondero,The Living And The Dead,,
501,2019 Challenge: Sing The Unsung,,Didjits,Killboy Powerhead,,Steve – 4/20
501,2019 Challenge: Sing The Unsung,,Drive Like Jehu,Bullet Train To Vegas,,
501,2019 Challenge: Sing The Unsung,,Dum Dum Girls,It Only Takes One Night,,Tashi – 2/27
501,2019 Challenge: Sing The Unsung,,Excuse 17,Sevenwhateverteen,,Del – 2/2
501,2019 Challenge: Sing The Unsung,,Frumpies,I Just Wanna Puke On The Stereo,,
501,2019 Challenge: Sing The Unsung,,Gary Numan,Bombers,,Karl – 12/2
501,2019 Challenge: Sing The Unsung,,Generation X,Your Generation,,
501,2019 Challenge: Sing The Unsung,,Go Betty Go,C’mon,,
501,2019 Challenge: Sing The Unsung,,Go-Betweens,Old Mexico,,
501,2019 Challenge: Sing The Unsung,,Grifters,Bummer,,
501,2019 Challenge: Sing The Unsung,,Hot Hot Heat,More For Show,,
501,2019 Challenge: Sing The Unsung,,Hot Snakes,Ben Gurion,,
501,2019 Challenge: Sing The Unsung,,Huggy Bear,Pansy Twist,,Meg – 11/13
501,2019 Challenge: Sing The Unsung,,Hüsker Dü,Hate Paper Doll,,
501,2019 Challenge: Sing The Unsung,,Iggy Pop,Kill City,,Michael C – 12/2
501,2019 Challenge: Sing The Unsung,,J Church,My Favorite Place,,
501,2019 Challenge: Sing The Unsung,,Jesus Lizard,Gladiator,,
501,2019 Challenge: Sing The Unsung,,Joanna Gruesome,Sugarcrush,,
501,2019 Challenge: Sing The Unsung,,Lambchop,Your Fucking Sunny Day,,ZBill – 2/2
501,2019 Challenge: Sing The Unsung,,Le Tigre,Tres Bien,,
501,2019 Challenge: Sing The Unsung,,Marnie Stern,Year Of The Glad,,
501,2019 Challenge: Sing The Unsung,,Metz,Headache,,David SG – 2/27
501,2019 Challenge: Sing The Unsung,,Minor Threat,Small Man Big Mouth,,Maddie – 2/16
501,2019 Challenge: Sing The Unsung,,Minutemen,D’s Car Jam / Anxious MoFo,,
501,2019 Challenge: Sing The Unsung,,Minutemen,It’s Expected I’m Gone,,
501,2019 Challenge: Sing The Unsung,,Minutemen,One Reporter’s Opinion,,
501,2019 Challenge: Sing The Unsung,,Minutemen,The Politics Of Time,,
